Country,ISO_A3,Region,IncomeGroup,Year,Emissions
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,1988,129322.641
Eritrea,ERI,Sub-Saharan Africa,Low income,1988,3131.5131
Spain,ESP,Europe & Central Asia,High income,1988,268265.705
Estonia,EST,Europe & Central Asia,High income,1988,69888.796
Ethiopia,ETH,Sub-Saharan Africa,Low income,1988,57246.245
Finland,FIN,Europe & Central Asia,High income,1988,72039.80852
Fiji,FJI,East Asia & Pacific,Upper middle income,1988,1985.6214
France,FRA,Europe & Central Asia,High income,1988,533912.04
Faroe Islands,FRO,Europe & Central Asia,High income,1988,NA
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,1988,43.939884
Gabon,GAB,Sub-Saharan Africa,Upper middle income,1988,9294.46917
United Kingdom,GBR,Europe & Central Asia,High income,1988,787867.03
Georgia,GEO,Europe & Central Asia,Upper middle income,1988,47706.739
Ghana,GHA,Sub-Saharan Africa,Lower middle income,1988,23003.631
Gibraltar,GIB,Europe & Central Asia,High income,1988,155.576061
Guinea,GIN,Sub-Saharan Africa,Low income,1988,48399.699
"Gambia, The",GMB,Sub-Saharan Africa,Low income,1988,1099.01907
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,1988,1322.1188
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,1988,205.716017
Greece,GRC,Europe & Central Asia,High income,1988,90115.8016
Grenada,GRD,Latin America & Caribbean,Upper middle income,1988,112.446569
Greenland,GRL,Europe & Central Asia,High income,1988,NA
Guatemala,GTM,Latin America & Caribbean,Lower middle income,1988,15033.4155
Guam,GUM,East Asia & Pacific,High income,1988,61.3722072
Guyana,GUY,Latin America & Caribbean,Upper middle income,1988,15605.2843
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,1988,34969.3259
Honduras,HND,Latin America & Caribbean,Lower middle income,1988,14503.345
Croatia,HRV,Europe & Central Asia,High income,1988,43184.992
Haiti,HTI,Latin America & Caribbean,Low income,1988,5440.2986
Hungary,HUN,Europe & Central Asia,High income,1988,108640.726
Indonesia,IDN,East Asia & Pacific,Lower middle income,1988,813977.91
Isle of Man,IMN,Europe & Central Asia,High income,1988,NA
India,IND,South Asia,Lower middle income,1988,1305250.63
Ireland,IRL,Europe & Central Asia,High income,1988,61748.223
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,1988,223541.278
Iraq,IRQ,Middle East & North Africa,Upper middle income,1988,99336.417
Iceland,ISL,Europe & Central Asia,High income,1988,19956.8502
Israel,ISR,Middle East & North Africa,High income,1988,36863.0489
Italy,ITA,Europe & Central Asia,High income,1988,497868
Jamaica,JAM,Latin America & Caribbean,Upper middle income,1988,6832.8877
Jordan,JOR,Middle East & North Africa,Upper middle income,1988,10626.6256
Japan,JPN,East Asia & Pacific,High income,1988,1186749.6
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,1988,240415.311
Kenya,KEN,Sub-Saharan Africa,Lower middle income,1988,36807.31
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,1988,16896.3839
Cambodia,KHM,East Asia & Pacific,Lower middle income,1988,18352.638
Kiribati,KIR,East Asia & Pacific,Lower middle income,1988,40.669831
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,1988,109.464582
"Korea, Rep.",KOR,East Asia & Pacific,High income,1988,258382.665
Kuwait,KWT,Middle East & North Africa,High income,1988,58923.3979
Lao PDR,LAO,East Asia & Pacific,Lower middle income,1988,25749.331
Lebanon,LBN,Middle East & North Africa,Upper middle income,1988,NA
Liberia,LBR,Sub-Saharan Africa,Low income,1988,2464.32329
Libya,LBY,Middle East & North Africa,Upper middle income,1988,55358.7094
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,1988,286.778198
Liechtenstein,LIE,Europe & Central Asia,High income,1988,NA
Sri Lanka,LKA,South Asia,Lower middle income,1988,18654.0486
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,1988,2056.7565
Lithuania,LTU,Europe & Central Asia,High income,1988,147969.545
Luxembourg,LUX,Europe & Central Asia,High income,1988,12003.8008
Latvia,LVA,Europe & Central Asia,High income,1988,71797.628
"Macao SAR, China",MAC,East Asia & Pacific,High income,1988,NA
St. Martin (French part),MAF,Latin America & Caribbean,High income,1988,NA
Morocco,MAR,Middle East & North Africa,Lower middle income,1988,34517.861
Monaco,MCO,Europe & Central Asia,High income,1988,NA
Moldova,MDA,Europe & Central Asia,Lower middle income,1988,55245.3209
Madagascar,MDG,Sub-Saharan Africa,Low income,1988,38387.554
Maldives,MDV,South Asia,Upper middle income,1988,120.760957
Mexico,MEX,Latin America & Caribbean,Upper middle income,1988,462185.197
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,1988,4.45388807
"Macedonia, FYR",MKD,Europe & Central Asia,Upper middle income,1988,12112.0439
Mali,MLI,Sub-Saharan Africa,Low income,1988,24366.253
Malta,MLT,Middle East & North Africa,High income,1988,2403.39229
Myanmar,MMR,East Asia & Pacific,Lower middle income,1988,764834.98
Montenegro,MNE,Europe & Central Asia,Upper middle income,1988,NA
Mongolia,MNG,East Asia & Pacific,Lower middle income,1988,54374.849
Northern Mariana Islands,MNP,East Asia & Pacific,High income,1988,4.5514134
Mozambique,MOZ,Sub-Saharan Africa,Low income,1988,26533.148
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,1988,5649.356
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,1988,1491.78319
Malawi,MWI,Sub-Saharan Africa,Low income,1988,6549.9444
Malaysia,MYS,East Asia & Pacific,Upper middle income,1988,167479.2098
Namibia,NAM,Sub-Saharan Africa,Upper middle income,1988,6147.4087
New Caledonia,NCL,East Asia & Pacific,High income,1988,NA
Niger,NER,Sub-Saharan Africa,Low income,1988,6504.6764
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,1988,144640.979
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,1988,9457.4401
Netherlands,NLD,Europe & Central Asia,High income,1988,219095.098
Norway,NOR,Europe & Central Asia,High income,1988,66652.758
Nepal,NPL,South Asia,Low income,1988,24882.8869
Nauru,NRU,East Asia & Pacific,High income,1988,NA
New Zealand,NZL,East Asia & Pacific,High income,1988,65388.136
Oman,OMN,Middle East & North Africa,High income,1988,29972.2713
Pakistan,PAK,South Asia,Lower middle income,1988,163110.3919
Panama,PAN,Latin America & Caribbean,Upper middle income,1988,6503.0435
Peru,PER,Latin America & Caribbean,Upper middle income,1988,60300.158
Philippines,PHL,East Asia & Pacific,Lower middle income,1988,92300.675
Palau,PLW,East Asia & Pacific,Upper middle income,1988,NA
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,1988,22162.3659
Poland,POL,Europe & Central Asia,High income,1988,583837.54
Puerto Rico,PRI,Latin America & Caribbean,High income,1988,2748.1712
"Korea, Dem. People’s Rep.",PRK,East Asia & Pacific,Low income,1988,167895.58
Portugal,PRT,Europe & Central Asia,High income,1988,47741.33
Paraguay,PRY,Latin America & Caribbean,Upper middle income,1988,56178.551
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,1988,NA
French Polynesia,PYF,East Asia & Pacific,High income,1988,1048.87422
Qatar,QAT,Middle East & North Africa,High income,1988,21410.6084
Romania,ROU,Europe & Central Asia,Upper middle income,1988,284585.509
Russian Federation,RUS,Europe & Central Asia,Upper middle income,1988,3376294.37
Rwanda,RWA,Sub-Saharan Africa,Low income,1988,3307.3324
Saudi Arabia,SAU,Middle East & North Africa,High income,1988,NA
Sudan,SDN,Sub-Saharan Africa,Lower middle income,1988,73962.746
Senegal,SEN,Sub-Saharan Africa,Low income,1988,9812.3734
Singapore,SGP,East Asia & Pacific,High income,1988,NA
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,1988,6643.738
Sierra Leone,SLE,Sub-Saharan Africa,Low income,1988,7967.2976
El Salvador,SLV,Latin America & Caribbean,Lower middle income,1988,6411.8905
San Marino,SMR,Europe & Central Asia,High income,1988,NA
Somalia,SOM,Sub-Saharan Africa,Low income,1988,19427.304
Serbia,SRB,Europe & Central Asia,Upper middle income,1988,NA
South Sudan,SSD,Sub-Saharan Africa,Low income,1988,NA
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,1988,71.648894
Suriname,SUR,Latin America & Caribbean,Upper middle income,1988,9097.2322
Slovak Republic,SVK,Europe & Central Asia,High income,1988,74921.464
Slovenia,SVN,Europe & Central Asia,High income,1988,21367.5794
Sweden,SWE,Europe & Central Asia,High income,1988,79750.44026
Swaziland,SWZ,Sub-Saharan Africa,Lower middle income,1988,2189.7467
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,1988,NA
Seychelles,SYC,Sub-Saharan Africa,High income,1988,456.909686
Syrian Arab Republic,SYR,Middle East & North Africa,Lower middle income,1988,43711.921
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,1988,2.25602787
Chad,TCD,Sub-Saharan Africa,Low income,1988,13571.283
Togo,TGO,Sub-Saharan Africa,Low income,1988,10159.6822
Thailand,THA,East Asia & Pacific,Upper middle income,1988,181433.707
Tajikistan,TJK,Europe & Central Asia,Lower middle income,1988,11935.1806
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,1988,45973.42189
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,1988,408.070011
Tonga,TON,East Asia & Pacific,Lower middle income,1988,135.88942
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,1988,NA
Tunisia,TUN,Middle East & North Africa,Lower middle income,1988,19433.0224
Turkey,TUR,Europe & Central Asia,Upper middle income,1988,198660.212
Tuvalu,TUV,East Asia & Pacific,Upper middle income,1988,3.455905
Tanzania,TZA,Sub-Saharan Africa,Low income,1988,65066.808
Uganda,UGA,Sub-Saharan Africa,Low income,1988,31101.471
Ukraine,UKR,Europe & Central Asia,Lower middle income,1988,732231.73
Uruguay,URY,Latin America & Caribbean,High income,1988,29630.809
United States,USA,North America,High income,1988,6185748
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,1988,98614.73553
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,1988,128.54943
"Venezuela, RB",VEN,Latin America & Caribbean,Upper middle income,1988,189621.802
British Virgin Islands,VGB,Latin America & Caribbean,High income,1988,72.239671
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,1988,43.989589
Vietnam,VNM,East Asia & Pacific,Lower middle income,1988,99076.309
Vanuatu,VUT,East Asia & Pacific,Lower middle income,1988,409.83345
World,WLD,NA,NA,1988,35478325.5939832
Samoa,WSM,East Asia & Pacific,Lower middle income,1988,281.70121
Kosovo,XKX,Europe & Central Asia,Lower middle income,1988,NA
"Yemen, Rep.",YEM,Middle East & North Africa,Lower middle income,1988,11644.3834
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,1988,NA
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,1988,132223.568
Zimbabwe,ZWE,Sub-Saharan Africa,Low income,1988,29369.643
Aruba,ABW,Latin America & Caribbean,High income,1989,NA
Afghanistan,AFG,South Asia,Low income,1989,12348.957
Angola,AGO,Sub-Saharan Africa,Upper middle income,1989,39342.98618
Albania,ALB,Europe & Central Asia,Upper middle income,1989,12552.7369
Andorra,AND,Europe & Central Asia,High income,1989,NA
United Arab Emirates,ARE,Middle East & North Africa,High income,1989,71801.913
Argentina,ARG,Latin America & Caribbean,Upper middle income,1989,265608.3
Armenia,ARM,Europe & Central Asia,Lower middle income,1989,17459.8322
American Samoa,ASM,East Asia & Pacific,Upper middle income,1989,20.7495349
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1989,370.511361
Australia,AUS,East Asia & Pacific,High income,1989,460970.008
Austria,AUT,Europe & Central Asia,High income,1989,74506.933
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,1989,64809.477
Burundi,BDI,Sub-Saharan Africa,Low income,1989,2667.09
Belgium,BEL,Europe & Central Asia,High income,1989,137954.584
Benin,BEN,Sub-Saharan Africa,Low income,1989,37911.081
Burkina Faso,BFA,Sub-Saharan Africa,Low income,1989,11103.19
Bangladesh,BGD,South Asia,Lower middle income,1989,126358.638
Bulgaria,BGR,Europe & Central Asia,Upper middle income,1989,116317.9
Bahrain,BHR,Middle East & North Africa,High income,1989,16281.21515
"Bahamas, The",BHS,Latin America & Caribbean,High income,1989,3551.76772
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,1989,27334.0633
Belarus,BLR,Europe & Central Asia,Upper middle income,1989,182769.283
Belize,BLZ,Latin America & Caribbean,Upper middle income,1989,534.71324
Bermuda,BMU,North America,High income,1989,932.164785
Bolivia,BOL,Latin America & Caribbean,Lower middle income,1989,168428.209
Brazil,BRA,Latin America & Caribbean,Upper middle income,1989,1476408.951
Barbados,BRB,Latin America & Caribbean,High income,1989,1199.41088
Brunei Darussalam,BRN,East Asia & Pacific,High income,1989,13122.7976
Bhutan,BTN,South Asia,Lower middle income,1989,1196.06308
Botswana,BWA,Sub-Saharan Africa,Upper middle income,1989,10055.783
Central African Republic,CAF,Sub-Saharan Africa,Low income,1989,108384.546666667
Canada,CAN,North America,High income,1989,794055.04
Switzerland,CHE,Europe & Central Asia,High income,1989,54933.6688
Channel Islands,CHI,Europe & Central Asia,High income,1989,NA
Chile,CHL,Latin America & Caribbean,High income,1989,51167.024
China,CHN,East Asia & Pacific,Upper middle income,1989,3800686.2095
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,1989,123195.45
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,1989,80396.615
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,1989,983441.91
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,1989,47483.918
Colombia,COL,Latin America & Caribbean,Upper middle income,1989,161638.566
Comoros,COM,Sub-Saharan Africa,Low income,1989,280.49686
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,1989,205.7988
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,1989,8421.8578
Cuba,CUB,Latin America & Caribbean,Upper middle income,1989,65695.28
Curacao,CUW,Latin America & Caribbean,High income,1989,NA
Cayman Islands,CYM,Latin America & Caribbean,High income,1989,300.260998
Cyprus,CYP,Europe & Central Asia,High income,1989,5077.29034
Czech Republic,CZE,Europe & Central Asia,High income,1989,207518.606
Germany,DEU,Europe & Central Asia,High income,1989,1278982.32
Djibouti,DJI,Middle East & North Africa,Lower middle income,1989,1878.46375
Dominica,DMA,Latin America & Caribbean,Upper middle income,1989,132.47091
Denmark,DNK,Europe & Central Asia,High income,1989,71996.554
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,1989,18031.1271
Algeria,DZA,Middle East & North Africa,Upper middle income,1989,110026.679
Ecuador,ECU,Latin America & Caribbean,Upper middle income,1989,29978.649
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,1989,135711.255
Eritrea,ERI,Sub-Saharan Africa,Low income,1989,3255.0843
Spain,ESP,Europe & Central Asia,High income,1989,288737.888
Estonia,EST,Europe & Central Asia,High income,1989,68716.2918
Ethiopia,ETH,Sub-Saharan Africa,Low income,1989,61350.887
Finland,FIN,Europe & Central Asia,High income,1989,72671.06844
Fiji,FJI,East Asia & Pacific,Upper middle income,1989,2189.0437
France,FRA,Europe & Central Asia,High income,1989,547917.63
Faroe Islands,FRO,Europe & Central Asia,High income,1989,NA
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,1989,45.778874
Gabon,GAB,Sub-Saharan Africa,Upper middle income,1989,10919.78011
United Kingdom,GBR,Europe & Central Asia,High income,1989,775919.13
Georgia,GEO,Europe & Central Asia,Upper middle income,1989,46751.864
Ghana,GHA,Sub-Saharan Africa,Lower middle income,1989,25116.851
Gibraltar,GIB,Europe & Central Asia,High income,1989,146.733922
Guinea,GIN,Sub-Saharan Africa,Low income,1989,52367.111
"Gambia, The",GMB,Sub-Saharan Africa,Low income,1989,1126.82249
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,1989,1426.6742
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,1989,240.831776
Greece,GRC,Europe & Central Asia,High income,1989,94856.8211
Grenada,GRD,Latin America & Caribbean,Upper middle income,1989,114.82145
Greenland,GRL,Europe & Central Asia,High income,1989,NA
Guatemala,GTM,Latin America & Caribbean,Lower middle income,1989,14620.0153
Guam,GUM,East Asia & Pacific,High income,1989,59.5164813
Guyana,GUY,Latin America & Caribbean,Upper middle income,1989,15417.4149
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,1989,36448.702
Honduras,HND,Latin America & Caribbean,Lower middle income,1989,13829.8944
Croatia,HRV,Europe & Central Asia,High income,1989,43802.366
Haiti,HTI,Latin America & Caribbean,Low income,1989,5422.3852
Hungary,HUN,Europe & Central Asia,High income,1989,105948.083
Indonesia,IDN,East Asia & Pacific,Lower middle income,1989,888790.51
Isle of Man,IMN,Europe & Central Asia,High income,1989,NA
India,IND,South Asia,Lower middle income,1989,1365390.78
Ireland,IRL,Europe & Central Asia,High income,1989,63305.303
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,1989,240347.697
Iraq,IRQ,Middle East & North Africa,Upper middle income,1989,106551.332
Iceland,ISL,Europe & Central Asia,High income,1989,20918.6128
Israel,ISR,Middle East & North Africa,High income,1989,38388.3811
Italy,ITA,Europe & Central Asia,High income,1989,517577.285
Jamaica,JAM,Latin America & Caribbean,Upper middle income,1989,8263.0162
Jordan,JOR,Middle East & North Africa,Upper middle income,1989,10833.7517
Japan,JPN,East Asia & Pacific,High income,1989,1216856.651
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,1989,241646.268
Kenya,KEN,Sub-Saharan Africa,Lower middle income,1989,38381.069
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,1989,16108.9077
Cambodia,KHM,East Asia & Pacific,Lower middle income,1989,17245.8924
Kiribati,KIR,East Asia & Pacific,Lower middle income,1989,39.287644
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,1989,102.937734
"Korea, Rep.",KOR,East Asia & Pacific,High income,1989,270117.802
Kuwait,KWT,Middle East & North Africa,High income,1989,62729.4837
Lao PDR,LAO,East Asia & Pacific,Lower middle income,1989,18518.9987
Lebanon,LBN,Middle East & North Africa,Upper middle income,1989,NA
Liberia,LBR,Sub-Saharan Africa,Low income,1989,2156.44891
Libya,LBY,Middle East & North Africa,Upper middle income,1989,56625.0662
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,1989,291.50978
Liechtenstein,LIE,Europe & Central Asia,High income,1989,NA
Sri Lanka,LKA,South Asia,Lower middle income,1989,17519.0258
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,1989,2023.3921
Lithuania,LTU,Europe & Central Asia,High income,1989,148595.876
Luxembourg,LUX,Europe & Central Asia,High income,1989,12836.9195
Latvia,LVA,Europe & Central Asia,High income,1989,72636.905
"Macao SAR, China",MAC,East Asia & Pacific,High income,1989,NA
St. Martin (French part),MAF,Latin America & Caribbean,High income,1989,NA
Morocco,MAR,Middle East & North Africa,Lower middle income,1989,36636.888
Monaco,MCO,Europe & Central Asia,High income,1989,NA
Moldova,MDA,Europe & Central Asia,Lower middle income,1989,56507.1414
Madagascar,MDG,Sub-Saharan Africa,Low income,1989,40358.508
Maldives,MDV,South Asia,Upper middle income,1989,NA
Mexico,MEX,Latin America & Caribbean,Upper middle income,1989,473325.8
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,1989,4.69700757
"Macedonia, FYR",MKD,Europe & Central Asia,Upper middle income,1989,13643.9824
Mali,MLI,Sub-Saharan Africa,Low income,1989,26169.18
Malta,MLT,Middle East & North Africa,High income,1989,2591.67392
Myanmar,MMR,East Asia & Pacific,Lower middle income,1989,518744.881
Montenegro,MNE,Europe & Central Asia,Upper middle income,1989,NA
Mongolia,MNG,East Asia & Pacific,Lower middle income,1989,53943.2038
Northern Mariana Islands,MNP,East Asia & Pacific,High income,1989,4.8212886
Mozambique,MOZ,Sub-Saharan Africa,Low income,1989,29872.852
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,1989,5917.9002
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,1989,1526.0882
Malawi,MWI,Sub-Saharan Africa,Low income,1989,7167.6719
Malaysia,MYS,East Asia & Pacific,Upper middle income,1989,145347.9368
Namibia,NAM,Sub-Saharan Africa,Upper middle income,1989,6404.1857
New Caledonia,NCL,East Asia & Pacific,High income,1989,NA
Niger,NER,Sub-Saharan Africa,Low income,1989,6730.8106
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,1989,155364.438
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,1989,9598.875
Netherlands,NLD,Europe & Central Asia,High income,1989,223050.278
Norway,NOR,Europe & Central Asia,High income,1989,66535.026
Nepal,NPL,South Asia,Low income,1989,24654.0729
Nauru,NRU,East Asia & Pacific,High income,1989,NA
New Zealand,NZL,East Asia & Pacific,High income,1989,64221.188
Oman,OMN,Middle East & North Africa,High income,1989,30545.2456
Pakistan,PAK,South Asia,Lower middle income,1989,167541.4849
Panama,PAN,Latin America & Caribbean,Upper middle income,1989,6614.2748
Peru,PER,Latin America & Caribbean,Upper middle income,1989,57774.678
Philippines,PHL,East Asia & Pacific,Lower middle income,1989,94618.11
Palau,PLW,East Asia & Pacific,Upper middle income,1989,NA
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,1989,23682.253
Poland,POL,Europe & Central Asia,High income,1989,558609
Puerto Rico,PRI,Latin America & Caribbean,High income,1989,2857.9248
"Korea, Dem. People’s Rep.",PRK,East Asia & Pacific,Low income,1989,167433.688
Portugal,PRT,Europe & Central Asia,High income,1989,56692.546
Paraguay,PRY,Latin America & Caribbean,Upper middle income,1989,56827.397
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,1989,NA
French Polynesia,PYF,East Asia & Pacific,High income,1989,1020.73382
Qatar,QAT,Middle East & North Africa,High income,1989,22303.184
Romania,ROU,Europe & Central Asia,Upper middle income,1989,278926.551
Russian Federation,RUS,Europe & Central Asia,Upper middle income,1989,3390140.82
Rwanda,RWA,Sub-Saharan Africa,Low income,1989,3475.693
Saudi Arabia,SAU,Middle East & North Africa,High income,1989,NA
Sudan,SDN,Sub-Saharan Africa,Lower middle income,1989,78623.486
Senegal,SEN,Sub-Saharan Africa,Low income,1989,10300.908
Singapore,SGP,East Asia & Pacific,High income,1989,NA
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,1989,6079.793
Sierra Leone,SLE,Sub-Saharan Africa,Low income,1989,8358.9333
El Salvador,SLV,Latin America & Caribbean,Lower middle income,1989,6398.644
San Marino,SMR,Europe & Central Asia,High income,1989,NA
Somalia,SOM,Sub-Saharan Africa,Low income,1989,19403.413
Serbia,SRB,Europe & Central Asia,Upper middle income,1989,NA
South Sudan,SSD,Sub-Saharan Africa,Low income,1989,NA
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,1989,71.513932
Suriname,SUR,Latin America & Caribbean,Upper middle income,1989,9339.4762
Slovak Republic,SVK,Europe & Central Asia,High income,1989,73397.566
Slovenia,SVN,Europe & Central Asia,High income,1989,20632.639
Sweden,SWE,Europe & Central Asia,High income,1989,77023.41004
Swaziland,SWZ,Sub-Saharan Africa,Lower middle income,1989,2250.2466
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,1989,NA
Seychelles,SYC,Sub-Saharan Africa,High income,1989,435.741257
Syrian Arab Republic,SYR,Middle East & North Africa,Lower middle income,1989,42422.991
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,1989,2.3167859
Chad,TCD,Sub-Saharan Africa,Low income,1989,14969.018
Togo,TGO,Sub-Saharan Africa,Low income,1989,10920.0549
Thailand,THA,East Asia & Pacific,Upper middle income,1989,189314.174
Tajikistan,TJK,Europe & Central Asia,Lower middle income,1989,12227.0323
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,1989,46883.13979
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,1989,424.894432
Tonga,TON,East Asia & Pacific,Lower middle income,1989,131.411193
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,1989,NA
Tunisia,TUN,Middle East & North Africa,Lower middle income,1989,20595.6027
Turkey,TUR,Europe & Central Asia,Upper middle income,1989,212147.125
Tuvalu,TUV,East Asia & Pacific,Upper middle income,1989,3.9551516
Tanzania,TZA,Sub-Saharan Africa,Low income,1989,71861.111
Uganda,UGA,Sub-Saharan Africa,Low income,1989,33057.727
Ukraine,UKR,Europe & Central Asia,Lower middle income,1989,729646.83
Uruguay,URY,Latin America & Caribbean,High income,1989,28552.437
United States,USA,North America,High income,1989,6221391.6
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,1989,98876.77753
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,1989,147.633108
"Venezuela, RB",VEN,Latin America & Caribbean,Upper middle income,1989,197170.645
British Virgin Islands,VGB,Latin America & Caribbean,High income,1989,75.150653
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,1989,44.728346
Vietnam,VNM,East Asia & Pacific,Lower middle income,1989,97268.0981
Vanuatu,VUT,East Asia & Pacific,Lower middle income,1989,401.33632
World,WLD,NA,NA,1989,36108991.652197704
Samoa,WSM,East Asia & Pacific,Lower middle income,1989,277.72245
Kosovo,XKX,Europe & Central Asia,Lower middle income,1989,NA
"Yemen, Rep.",YEM,Middle East & North Africa,Lower middle income,1989,12042.575
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,1989,NA
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,1989,149004.965
Zimbabwe,ZWE,Sub-Saharan Africa,Low income,1989,30264.471
Aruba,ABW,Latin America & Caribbean,High income,1990,NA
Afghanistan,AFG,South Asia,Low income,1990,12528.0165
Angola,AGO,Sub-Saharan Africa,Upper middle income,1990,50806.5426914
Albania,ALB,Europe & Central Asia,Upper middle income,1990,11112.72956
Andorra,AND,Europe & Central Asia,High income,1990,NA
United Arab Emirates,ARE,Middle East & North Africa,High income,1990,72498.5763
Argentina,ARG,Latin America & Caribbean,Upper middle income,1990,266555.03
Armenia,ARM,Europe & Central Asia,Lower middle income,1990,24729.9166
American Samoa,ASM,East Asia & Pacific,Upper middle income,1990,20.3813783
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1990,372.28777
Australia,AUS,East Asia & Pacific,High income,1990,482298.262
Austria,AUT,Europe & Central Asia,High income,1990,79836.956
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,1990,78096.61988
Burundi,BDI,Sub-Saharan Africa,Low income,1990,2798.9396
Belgium,BEL,Europe & Central Asia,High income,1990,137872.522
Benin,BEN,Sub-Saharan Africa,Low income,1990,47187.972
Burkina Faso,BFA,Sub-Saharan Africa,Low income,1990,12151.01
Bangladesh,BGD,South Asia,Lower middle income,1990,126701.696
Bulgaria,BGR,Europe & Central Asia,Upper middle income,1990,108086.0268
Bahrain,BHR,Middle East & North Africa,High income,1990,17050.70875
"Bahamas, The",BHS,Latin America & Caribbean,High income,1990,3593.57477
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,1990,31318.60314
Belarus,BLR,Europe & Central Asia,Upper middle income,1990,185411.7606
Belize,BLZ,Latin America & Caribbean,Upper middle income,1990,632.71626
Bermuda,BMU,North America,High income,1990,652.962347
Bolivia,BOL,Latin America & Caribbean,Lower middle income,1990,192645.695
Brazil,BRA,Latin America & Caribbean,Upper middle income,1990,1606209.334
Barbados,BRB,Latin America & Caribbean,High income,1990,1199.66709
Brunei Darussalam,BRN,East Asia & Pacific,High income,1990,18366.774
Bhutan,BTN,South Asia,Lower middle income,1990,1280.14329
Botswana,BWA,Sub-Saharan Africa,Upper middle income,1990,13373.085
