Country,ISO_A3,Region,IncomeGroup,Year,Emissions
Belarus,BLR,Europe & Central Asia,Upper middle income,1971,138534.12
Belize,BLZ,Latin America & Caribbean,Upper middle income,1971,324.49975
Bermuda,BMU,North America,High income,1971,350.067507
Bolivia,BOL,Latin America & Caribbean,Lower middle income,1971,122460.075
Brazil,BRA,Latin America & Caribbean,Upper middle income,1971,968552.518
Barbados,BRB,Latin America & Caribbean,High income,1971,703.0532
Brunei Darussalam,BRN,East Asia & Pacific,High income,1971,8060.8666
Bhutan,BTN,South Asia,Lower middle income,1971,876.68893
Botswana,BWA,Sub-Saharan Africa,Upper middle income,1971,6558.9852
Central African Republic,CAF,Sub-Saharan Africa,Low income,1971,101998.998666667
Canada,CAN,North America,High income,1971,512428.63
Switzerland,CHE,Europe & Central Asia,High income,1971,51338.6844
Channel Islands,CHI,Europe & Central Asia,High income,1971,NA
Chile,CHL,Latin America & Caribbean,High income,1971,43511.1332
China,CHN,East Asia & Pacific,Upper middle income,1971,1914331.7695
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,1971,113930.493
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,1971,64421.969
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,1971,899793.29
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,1971,42385.55
Colombia,COL,Latin America & Caribbean,Upper middle income,1971,113238.1722
Comoros,COM,Sub-Saharan Africa,Low income,1971,204.84243
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,1971,191.700604
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,1971,5259.1809
Cuba,CUB,Latin America & Caribbean,Upper middle income,1971,40754.466
Curacao,CUW,Latin America & Caribbean,High income,1971,NA
Cayman Islands,CYM,Latin America & Caribbean,High income,1971,74.5234564
Cyprus,CYP,Europe & Central Asia,High income,1971,2789.77946
Czech Republic,CZE,Europe & Central Asia,High income,1971,212880.7745
Germany,DEU,Europe & Central Asia,High income,1971,1283784.3
Djibouti,DJI,Middle East & North Africa,Lower middle income,1971,1059.44513
Dominica,DMA,Latin America & Caribbean,Upper middle income,1971,52.877962
Denmark,DNK,Europe & Central Asia,High income,1971,74949.3262
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,1971,9420.4392
Algeria,DZA,Middle East & North Africa,Upper middle income,1971,38924.7223
Ecuador,ECU,Latin America & Caribbean,Upper middle income,1971,12552.5025
